ID_code;id_name;Sartoretto_TS_group;Sartoretto_TS_group_etendu;Sartoretto_CS_group;Sartoretto_CS_group_etendu;Taxon_level;ID_major_category;major_category;gender_name;Species;Gender;Family;Order;Class;Phylum;Not_concerned;major_builders_old;Builders_all;Builders_nobryo;LSP;PSP;MSP;AXSP;COSP
PLSP;Pleraplysilla spinifera;4;4;basal;basal;Species;S;Sponge;Pleraplysilla;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POAU;Polyclinum aurantium;4;4;intermediate;intermediate;Species;AS;Ascidians;Polyclinum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POCO;Poecillastra compressa;;;;intermediate;Species;S;Sponge;Poecillastra;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POLA;Polysyncraton lacazei;;4;intermediate;intermediate;NA;AS;Ascidians;Polysyncraton;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POLC;Polycitor sp;;4;intermediate;intermediate;Gender;AS;Ascidians;Polycitor;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
POLD;Polydora sp;;;;basal;Gender;W;Sedentary worms;Polydora;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
POMU;Polycyathus muellerae;;2;basal;basal;Species;SCL;Scleractinia;Polycyathus;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
POOC;Posidonia oceanica;;;;upper;Species;PH;Phanerogam;Posidonia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROT;Protula sp;;;;basal;Gender;W;Sedentary worms;Protula;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0
PYCL;Pycnoclavella sp;4;4;intermediate;intermediate;Gender;AS;Ascidians;Pycnoclavella;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
R;Rubble;;;;;NC;SPR;Sludge, pavement, rubble, sand;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
RAAC;Raspaciona aculeata;;;basal;basal;Species;S;Sponge;Raspaciona;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REFU;Reniera fulva;;;basal;basal;Species;S;Sponge;Reniera;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RESP;Reteporella sp;2;2;intermediate;intermediate;Gender;EBR;Erected bryozoan;Reteporella;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
REVI;Reptadeonella violacea;2;2;basal;basal;Species;CBR;Encrusting bryozoan;Reptadeonella;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
RHNE;Rhopalaea neapolitana;;4;intermediate;intermediate;Species;AS;Ascidians;Rhopalaea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S;Sludge;;;;;NC;SPR;Sludge, pavement, rubble, sand;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
SAEL;Sagartia elegans;;;basal;basal;Species;A;Actiniaria;Sagartia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAPA;Sabella pavonina;;;;intermediate;Species;W;Sedentary worms;Sabella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SARC;Sarcotragus sp;3;3;basal;basal;Gender;S;Sponge;Sarcotragus;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SASA;Savalia savaglia;;;upper;upper;Species;Z;Zoantharia;Savalia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SASP;Sabella spallanzanii;;;;intermediate;Species;W;Sedentary worms;Sabella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SCLR;Scleractinia;;2;basal;basal;Order;SCL;Scleractinia;NC;0;0;0;4;0;0;0;1;1;1;0;0;0;0;0
SCMA;Schizomavella mamillata;2;2;basal;basal;Species;CBR;Encrusting bryozoan;Schizomavella;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
SCSE;Schizotheca serratimargo;;;intermediate;intermediate;Species;EBR;Erected bryozoan;Schizotheca;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
SCSP;Scrupocellaria sp;;;intermediate;intermediate;Gender;EBR;Erected bryozoan;Scrupocellaria;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
SEAR;Serpulorbis arenarius;;;;basal;Species;W;Sedentary worms;Serpulorbis;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
SEVE;Serpula vermicularis;;;;basal;Species;W;Sedentary worms;Serpula;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
SGR;Sphaerechinus granularis;;;;intermediate;Species;E;Echinids;Sphaerechinus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SHAD;Shadow;;;;;NC;TWS;Tape, wand, shadow;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
SMCE;Smittina cervicornis;4;4;intermediate;intermediate;Species;EBR;Erected bryozoan;Smittina;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
SPCO;Sphaerococcus coronopifolius;;;intermediate;intermediate;Species;EMA;Erected red macroalgae;Sphaerococcus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SPCU;Spirastrella cunctatrix;;;basal;basal;Species;S;Sponge;Spirastrella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SPFR;Spongites fruticulosa;1;1;basal;basal;Species;CMA;Encrusting red macroalgae;Spongites;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
